location,year,month,avg_temp_c,max_temp_c,min_temp_c,rainfall_mm
Madurai,2005,11,27.6,31.5,23.7,136.2
Madurai,2005,12,25.4,29.8,21.0,43.5
Madurai,2006,1,25.1,31.5,18.7,16.4
Madurai,2006,2,26.6,33.7,19.5,8.2
Madurai,2006,3,29.4,37.0,21.8,13.6
Madurai,2006,4,31.9,39.3,24.5,32.7
Madurai,2006,5,33.9,41.2,26.7,54.8
Madurai,2006,6,32.2,37.9,26.5,50.4
Madurai,2006,7,30.7,36.1,25.4,74.6
Madurai,2006,8,30.4,35.6,25.3,78.3
Madurai,2006,9,30.6,35.9,25.4,114.5
Madurai,2006,10,30.0,34.3,25.6,164.8
Madurai,2006,11,27.8,31.7,23.9,142.3
Madurai,2006,12,25.6,30.0,21.2,46.7
Madurai,2007,1,24.8,31.2,18.4,12.5
Madurai,2007,2,26.3,33.4,19.2,5.9
Madurai,2007,3,29.2,36.7,21.7,11.2
Madurai,2007,4,31.7,39.1,24.3,29.8
Madurai,2007,5,33.7,40.9,26.4,50.8
Madurai,2007,6,32.0,37.7,26.2,47.5
Madurai,2007,7,30.6,35.9,25.3,69.8
Madurai,2007,8,30.3,35.4,25.2,73.4
Madurai,2007,9,30.5,35.7,25.3,108.9
Madurai,2007,10,29.9,34.2,25.5,156.7
Madurai,2007,11,27.7,31.6,23.8,134.5
Madurai,2007,12,25.5,29.9,21.1,42.8
Madurai,2008,1,24.6,30.9,18.2,11.8
Madurai,2008,2,26.1,33.1,19.0,5.1
Madurai,2008,3,29.0,36.4,21.5,9.6
Madurai,2008,4,31.5,38.8,24.1,27.4
Madurai,2008,5,33.5,40.6,26.2,48.2
Madurai,2008,6,31.8,37.5,26.0,43.8
Madurai,2008,7,30.4,35.7,25.1,66.4
Madurai,2008,8,30.1,35.2,25.0,69.7
Madurai,2008,9,30.3,35.5,25.1,100.5
Madurai,2008,10,29.7,34.0,25.3,149.8
Madurai,2008,11,27.5,31.4,23.6,126.4
Madurai,2008,12,25.3,29.7,20.9,39.6
Madurai,2009,1,25.0,31.4,18.6,14.2
Madurai,2009,2,26.5,33.6,19.4,7.4
Madurai,2009,3,29.3,36.8,21.8,12.8
Madurai,2009,4,31.8,39.2,24.4,31.6
Madurai,2009,5,33.8,41.0,26.5,53.6
Madurai,2009,6,32.1,37.8,26.3,49.2
Madurai,2009,7,30.7,36.0,25.4,71.5
Madurai,2009,8,30.4,35.5,25.3,76.8
Madurai,2009,9,30.6,35.8,25.4,112.4
Madurai,2009,10,30.0,34.3,25.6,161.5
Madurai,2009,11,27.8,31.7,23.9,139.8
Madurai,2009,12,25.6,30.0,21.2,45.3
Madurai,2010,1,25.2,31.6,18.8,17.5
Madurai,2010,2,26.7,33.8,19.6,9.3
Madurai,2010,3,29.5,37.1,21.9,14.8
Madurai,2010,4,32.0,39.4,24.6,34.2
Madurai,2010,5,34.0,41.3,26.8,57.4
Madurai,2010,6,32.3,38.0,26.6,52.8
Madurai,2010,7,30.8,36.2,25.5,76.3
Madurai,2010,8,30.5,35.7,25.4,80.5
Madurai,2010,9,30.7,36.0,25.5,116.8
Madurai,2010,10,30.1,34.4,25.7,168.4
Madurai,2010,11,27.9,31.8,24.0,145.6
Madurai,2010,12,25.7,30.1,21.3,48.2
Madurai,2011,1,25.1,31.5,18.7,15.8
Madurai,2011,2,26.6,33.7,19.5,8.6
Madurai,2011,3,29.4,37.0,21.9,13.4
Madurai,2011,4,31.9,39.3,24.5,32.8
Madurai,2011,5,33.9,41.2,26.7,55.2
Madurai,2011,6,32.2,37.9,26.4,51.0
Madurai,2011,7,30.7,36.1,25.4,73.8
Madurai,2011,8,30.4,35.6,25.3,78.1
Madurai,2011,9,30.6,35.9,25.4,113.6
Madurai,2011,10,30.0,34.3,25.6,165.2
Madurai,2011,11,27.8,31.7,23.9,141.8
Madurai,2011,12,25.6,30.0,21.2,46.5
Madurai,2012,1,25.3,31.7,18.9,18.2
Madurai,2012,2,26.8,33.9,19.7,10.1
Madurai,2012,3,29.6,37.2,22.0,15.6
Madurai,2012,4,32.1,39.5,24.7,35.4
Madurai,2012,5,34.1,41.4,26.9,58.8
Madurai,2012,6,32.4,38.1,26.7,53.6
Madurai,2012,7,30.9,36.3,25.6,77.8
Madurai,2012,8,30.6,35.8,25.5,82.3
Madurai,2012,9,30.8,36.1,25.6,118.5
Madurai,2012,10,30.2,34.5,25.8,170.6
Madurai,2012,11,28.0,31.9,24.1,148.3
Madurai,2012,12,25.8,30.2,21.4,50.1
Madurai,2013,1,25.0,31.4,18.6,14.6
Madurai,2013,2,26.5,33.6,19.4,7.8
Madurai,2013,3,29.3,36.8,21.8,12.9
Madurai,2013,4,31.8,39.2,24.4,31.8
Madurai,2013,5,33.8,41.0,26.5,53.9
Madurai,2013,6,32.1,37.8,26.3,49.5
Madurai,2013,7,30.7,36.0,25.4,72.1
Madurai,2013,8,30.4,35.5,25.3,77.3
Madurai,2013,9,30.6,35.8,25.4,112.8
Madurai,2013,10,30.0,34.3,25.6,162.4
Madurai,2013,11,27.8,31.7,23.9,140.2
Madurai,2013,12,25.6,30.0,21.2,45.8
Madurai,2014,1,25.4,31.8,19.0,19.3
Madurai,2014,2,26.9,34.0,19.8,11.4
Madurai,2014,3,29.7,37.3,22.1,16.8
Madurai,2014,4,32.2,39.6,24.8,36.7
Madurai,2014,5,34.2,41.5,27.0,60.3
Madurai,2014,6,32.5,38.2,26.8,55.1
Madurai,2014,7,31.0,36.4,25.7,79.4
Madurai,2014,8,30.7,35.9,25.6,83.8
Madurai,2014,9,30.9,36.2,25.7,120.4
Madurai,2014,10,30.3,34.6,25.9,173.5
Madurai,2014,11,28.1,32.0,24.2,150.8
Madurai,2014,12,25.9,30.3,21.5,52.4
Madurai,2015,1,25.5,31.9,19.1,20.6
Madurai,2015,2,27.0,34.1,19.9,12.7
Madurai,2015,3,29.8,37.4,22.2,18.2
Madurai,2015,4,32.3,39.7,24.9,38.3
Madurai,2015,5,34.3,41.6,27.1,62.1
Madurai,2015,6,32.6,38.3,26.9,57.4
Madurai,2015,7,31.1,36.5,25.8,81.2
Madurai,2015,8,30.8,36.0,25.7,85.6
Madurai,2015,9,31.0,36.3,25.8,122.8
Madurai,2015,10,30.4,34.7,26.0,177.4
Madurai,2015,11,28.2,32.1,24.3,185.6
Madurai,2015,12,26.0,30.4,21.6,96.3
Madurai,2016,1,25.3,31.7,18.9,17.4
Madurai,2016,2,26.8,33.9,19.7,9.8
Madurai,2016,3,29.6,37.2,22.0,15.3
Madurai,2016,4,32.1,39.5,24.7,34.9
Madurai,2016,5,34.1,41.4,26.9,58.5
Madurai,2016,6,32.4,38.1,26.7,53.2
Madurai,2016,7,30.9,36.3,25.6,77.4
Madurai,2016,8,30.6,35.8,25.5,81.8
Madurai,2016,9,30.8,36.1,25.6,117.9
Madurai,2016,10,30.2,34.5,25.8,169.8
Madurai,2016,11,28.0,31.9,24.1,147.6
Madurai,2016,12,25.8,30.2,21.4,49.5
Madurai,2017,1,25.6,32.0,19.2,21.8
Madurai,2017,2,27.1,34.2,20.0,13.6
Madurai,2017,3,29.9,37.5,22.3,19.4
Madurai,2017,4,32.4,39.8,25.0,39.6
Madurai,2017,5,34.4,41.7,27.2,63.8
Madurai,2017,6,32.7,38.4,27.0,58.9
Madurai,2017,7,31.2,36.6,25.9,83.0
Madurai,2017,8,30.9,36.1,25.8,87.2
Madurai,2017,9,31.1,36.4,25.9,124.6
Madurai,2017,10,30.5,34.8,26.1,179.8
Madurai,2017,11,28.3,32.2,24.4,153.4
Madurai,2017,12,26.1,30.5,21.7,54.8
Madurai,2018,1,25.7,32.1,19.3,22.9
Madurai,2018,2,27.2,34.3,20.1,14.8
Madurai,2018,3,30.0,37.6,22.4,20.6
Madurai,2018,4,32.5,39.9,25.1,41.2
Madurai,2018,5,34.5,41.8,27.3,65.4
Madurai,2018,6,32.8,38.5,27.1,60.5
Madurai,2018,7,31.3,36.7,26.0,84.8
Madurai,2018,8,31.0,36.2,25.9,89.1
Madurai,2018,9,31.2,36.5,26.0,126.4
Madurai,2018,10,30.6,34.9,26.2,182.3
Madurai,2018,11,28.4,32.3,24.5,156.2
Madurai,2018,12,26.2,30.6,21.8,57.2
Madurai,2019,1,25.8,32.2,19.4,24.1
Madurai,2019,2,27.3,34.4,20.2,15.9
Madurai,2019,3,30.1,37.7,22.5,21.8
Madurai,2019,4,32.6,40.0,25.2,42.8
Madurai,2019,5,34.6,41.9,27.4,67.2
Madurai,2019,6,32.9,38.6,27.2,62.3
Madurai,2019,7,31.4,36.8,26.1,86.6
Madurai,2019,8,31.1,36.3,26.0,91.0
Madurai,2019,9,31.3,36.6,26.1,128.5
Madurai,2019,10,30.7,35.0,26.3,185.1
Madurai,2019,11,28.5,32.4,24.6,159.0
Madurai,2019,12,26.3,30.7,21.9,59.6
Madurai,2020,1,25.9,32.3,19.5,25.4
Madurai,2020,2,27.4,34.5,20.3,17.1
Madurai,2020,3,30.2,37.8,22.6,23.1
Madurai,2020,4,32.7,40.1,25.3,44.5
Madurai,2020,5,34.7,42.0,27.5,69.1
Madurai,2020,6,33.0,38.7,27.3,64.2
Madurai,2020,7,31.5,36.9,26.2,88.5
Madurai,2020,8,31.2,36.4,26.1,93.0
Madurai,2020,9,31.4,36.7,26.2,130.8
Madurai,2020,10,30.8,35.1,26.4,188.4
Madurai,2020,11,28.6,32.5,24.7,162.1
Madurai,2020,12,26.4,30.8,22.0,62.1
Madurai,2021,1,26.0,32.4,19.6,26.7
Madurai,2021,2,27.5,34.6,20.4,18.4
Madurai,2021,3,30.3,37.9,22.7,24.5
Madurai,2021,4,32.8,40.2,25.4,46.3
Madurai,2021,5,34.8,42.1,27.6,71.0
Madurai,2021,6,33.1,38.8,27.4,66.1
Madurai,2021,7,31.6,37.0,26.3,90.4
Madurai,2021,8,31.3,36.5,26.2,95.0
Madurai,2021,9,31.5,36.8,26.3,133.2
Madurai,2021,10,30.9,35.2,26.5,191.8
Madurai,2021,11,28.7,32.6,24.8,165.3
Madurai,2021,12,26.5,30.9,22.1,64.8
Madurai,2022,1,26.1,32.5,19.7,28.0
Madurai,2022,2,27.6,34.7,20.5,19.7
Madurai,2022,3,30.4,38.0,22.8,25.9
Madurai,2022,4,32.9,40.3,25.5,48.1
Madurai,2022,5,34.9,42.2,27.7,72.9
Madurai,2022,6,33.2,38.9,27.5,68.0
Madurai,2022,7,31.7,37.1,26.4,92.4
Madurai,2022,8,31.4,36.6,26.3,97.1
Madurai,2022,9,31.6,36.9,26.4,135.7
Madurai,2022,10,31.0,35.3,26.6,195.3
Madurai,2022,11,28.8,32.7,24.9,168.6
Madurai,2022,12,26.6,31.0,22.2,67.5
Madurai,2023,1,26.2,32.6,19.8,29.3
Madurai,2023,2,27.7,34.8,20.6,21.0
Madurai,2023,3,30.5,38.1,22.9,27.3
Madurai,2023,4,33.0,40.4,25.6,50.0
Madurai,2023,5,35.0,42.3,27.8,74.8
Madurai,2023,6,33.3,39.0,27.6,70.0
Madurai,2023,7,31.8,37.2,26.5,94.4
Madurai,2023,8,31.5,36.7,26.4,99.2
Madurai,2023,9,31.7,37.0,26.5,138.2
Madurai,2023,10,31.1,35.4,26.7,199.0
Madurai,2023,11,28.9,32.8,25.0,172.0
Madurai,2023,12,26.7,31.1,22.3,70.2
Chennai,2000,1,25.0,29.5,20.5,26.4
Chennai,2000,2,26.2,30.8,21.6,7.2
Chennai,2000,3,28.5,33.2,23.8,10.5
Chennai,2000,4,31.0,35.8,26.2,22.8
Chennai,2000,5,33.2,38.5,28.0,48.6
Chennai,2000,6,31.8,36.0,27.6,56.4
Chennai,2000,7,30.5,34.8,26.2,92.8
Chennai,2000,8,30.2,34.5,26.0,108.6
Chennai,2000,9,29.8,34.0,25.6,123.4
Chennai,2000,10,28.4,32.6,24.2,296.5
Chennai,2000,11,26.5,30.2,22.8,378.2
Chennai,2000,12,25.2,28.8,21.6,136.4
Chennai,2001,1,24.8,29.2,20.3,22.8
Chennai,2001,2,26.0,30.5,21.4,6.4
Chennai,2001,3,28.3,33.0,23.6,8.9
Chennai,2001,4,30.8,35.5,25.9,19.6
Chennai,2001,5,33.0,38.2,27.8,42.8
Chennai,2001,6,31.6,35.7,27.3,50.8
Chennai,2001,7,30.2,34.5,25.8,86.4
Chennai,2001,8,29.9,34.2,25.7,100.2
Chennai,2001,9,29.5,33.7,25.3,115.6
Chennai,2001,10,28.0,32.2,23.8,275.8
Chennai,2001,11,26.1,29.8,22.4,352.6
Chennai,2001,12,24.8,28.4,21.2,124.8
Chennai,2002,1,24.6,29.0,20.1,20.5
Chennai,2002,2,25.8,30.3,21.2,5.8
Chennai,2002,3,28.1,32.8,23.4,7.6
Chennai,2002,4,30.6,35.3,25.7,17.4
Chennai,2002,5,32.8,38.0,27.6,38.4
Chennai,2002,6,31.4,35.5,27.1,46.8
Chennai,2002,7,30.0,34.3,25.6,80.2
Chennai,2002,8,29.7,34.0,25.5,94.8
Chennai,2002,9,29.3,33.5,25.1,108.4
Chennai,2002,10,27.8,32.0,23.6,256.4
Chennai,2002,11,25.9,29.6,22.2,328.6
Chennai,2002,12,24.6,28.2,21.0,116.4
Chennai,2005,1,25.2,29.7,20.7,28.6
Chennai,2005,2,26.4,31.0,21.8,8.6
Chennai,2005,3,28.7,33.4,24.0,12.4
Chennai,2005,4,31.2,36.0,26.4,25.4
Chennai,2005,5,33.4,38.7,28.2,52.8
Chennai,2005,6,32.0,36.2,27.8,62.4
Chennai,2005,7,30.7,35.0,26.4,98.6
Chennai,2005,8,30.4,34.7,26.2,114.8
Chennai,2005,9,30.0,34.2,25.8,131.4
Chennai,2005,10,28.6,32.8,24.4,315.2
Chennai,2005,11,26.7,30.4,23.0,402.6
Chennai,2005,12,25.4,29.0,21.8,148.6
Chennai,2010,1,25.4,29.9,20.9,32.4
Chennai,2010,2,26.6,31.2,22.0,10.2
Chennai,2010,3,28.9,33.6,24.2,14.8
Chennai,2010,4,31.4,36.2,26.6,28.8
Chennai,2010,5,33.6,38.9,28.4,58.4
Chennai,2010,6,32.2,36.4,28.0,68.6
Chennai,2010,7,30.9,35.2,26.6,105.8
Chennai,2010,8,30.6,34.9,26.4,122.4
Chennai,2010,9,30.2,34.4,26.0,140.2
Chennai,2010,10,28.8,33.0,24.6,336.8
Chennai,2010,11,26.9,30.6,23.2,428.4
Chennai,2010,12,25.6,29.2,22.0,158.6
Chennai,2015,1,25.6,30.1,21.1,36.4
Chennai,2015,2,26.8,31.4,22.2,12.4
Chennai,2015,3,29.1,33.8,24.4,17.6
Chennai,2015,4,31.6,36.4,26.8,32.8
Chennai,2015,5,33.8,39.1,28.6,64.6
Chennai,2015,6,32.4,36.6,28.2,75.4
Chennai,2015,7,31.1,35.4,26.8,113.6
Chennai,2015,8,30.8,35.1,26.6,131.8
Chennai,2015,9,30.4,34.6,26.2,150.8
Chennai,2015,10,29.0,33.2,24.8,480.6
Chennai,2015,11,27.1,30.8,23.4,492.8
Chennai,2015,12,25.8,29.4,22.2,186.4
Chennai,2020,1,25.9,30.4,21.4,40.8
Chennai,2020,2,27.1,31.7,22.5,14.6
Chennai,2020,3,29.4,34.1,24.7,21.4
Chennai,2020,4,31.9,36.7,27.1,37.6
Chennai,2020,5,34.1,39.4,28.9,71.8
Chennai,2020,6,32.7,36.9,28.5,82.8
Chennai,2020,7,31.4,35.7,27.1,122.4
Chennai,2020,8,31.1,35.4,26.9,141.6
Chennai,2020,9,30.7,34.9,26.5,162.4
Chennai,2020,10,29.3,33.5,25.1,402.4
Chennai,2020,11,27.4,31.1,23.7,486.6
Chennai,2020,12,26.1,29.7,22.5,196.8
Chennai,2023,1,26.2,30.7,21.7,44.8
Chennai,2023,2,27.4,32.0,22.8,16.8
Chennai,2023,3,29.7,34.4,25.0,24.6
Chennai,2023,4,32.2,37.0,27.4,42.4
Chennai,2023,5,34.4,39.7,29.2,78.4
Chennai,2023,6,33.0,37.2,28.8,90.4
Chennai,2023,7,31.7,36.0,27.4,131.2
Chennai,2023,8,31.4,35.7,27.2,152.0
Chennai,2023,9,31.0,35.2,26.8,175.4
Chennai,2023,10,29.6,33.8,25.4,428.6
Chennai,2023,11,27.7,31.4,24.0,514.2
Chennai,2023,12,26.4,30.0,22.8,208.4
Coimbatore,2000,1,23.2,29.8,16.6,18.4
Coimbatore,2000,2,24.8,32.0,17.6,12.6
Coimbatore,2000,3,27.2,34.8,19.6,22.8
Coimbatore,2000,4,29.8,37.5,22.1,56.4
Coimbatore,2000,5,31.2,38.6,23.8,82.6
Coimbatore,2000,6,28.5,34.2,22.8,68.4
Coimbatore,2000,7,27.2,32.8,21.6,74.2
Coimbatore,2000,8,27.0,32.5,21.5,62.8
Coimbatore,2000,9,27.5,33.0,22.0,108.4
Coimbatore,2000,10,26.8,32.2,21.4,184.6
Coimbatore,2000,11,24.6,30.0,19.2,126.8
Coimbatore,2000,12,23.4,29.2,17.6,28.4
Coimbatore,2005,1,23.4,30.0,16.8,20.6
Coimbatore,2005,2,25.0,32.2,17.8,14.2
Coimbatore,2005,3,27.4,35.0,19.8,25.4
Coimbatore,2005,4,30.0,37.7,22.3,59.8
Coimbatore,2005,5,31.4,38.8,24.0,86.4
Coimbatore,2005,6,28.7,34.4,23.0,72.8
Coimbatore,2005,7,27.4,33.0,21.8,78.6
Coimbatore,2005,8,27.2,32.7,21.7,67.4
Coimbatore,2005,9,27.7,33.2,22.2,115.8
Coimbatore,2005,10,27.0,32.4,21.6,196.4
Coimbatore,2005,11,24.8,30.2,19.4,134.6
Coimbatore,2005,12,23.6,29.4,17.8,31.2
Coimbatore,2010,1,23.8,30.4,17.2,24.8
Coimbatore,2010,2,25.4,32.6,18.2,17.4
Coimbatore,2010,3,27.8,35.4,20.2,30.6
Coimbatore,2010,4,30.4,38.1,22.7,65.4
Coimbatore,2010,5,31.8,39.2,24.4,93.8
Coimbatore,2010,6,29.1,34.8,23.4,80.4
Coimbatore,2010,7,27.8,33.4,22.2,86.4
Coimbatore,2010,8,27.6,33.1,22.1,74.6
Coimbatore,2010,9,28.1,33.6,22.6,126.8
Coimbatore,2010,10,27.4,32.8,22.0,215.4
Coimbatore,2010,11,25.2,30.6,19.8,148.4
Coimbatore,2010,12,24.0,29.8,18.2,36.8
Coimbatore,2015,1,24.2,30.8,17.6,28.4
Coimbatore,2015,2,25.8,33.0,18.6,20.6
Coimbatore,2015,3,28.2,35.8,20.6,36.2
Coimbatore,2015,4,30.8,38.5,23.1,72.8
Coimbatore,2015,5,32.2,39.6,24.8,101.4
Coimbatore,2015,6,29.5,35.2,23.8,88.4
Coimbatore,2015,7,28.2,33.8,22.6,94.2
Coimbatore,2015,8,28.0,33.5,22.5,82.4
Coimbatore,2015,9,28.5,34.0,23.0,138.6
Coimbatore,2015,10,27.8,33.2,22.4,236.8
Coimbatore,2015,11,25.6,31.0,20.2,164.6
Coimbatore,2015,12,24.4,30.2,18.6,42.4
Coimbatore,2020,1,24.6,31.2,18.0,32.8
Coimbatore,2020,2,26.2,33.4,19.0,23.8
Coimbatore,2020,3,28.6,36.2,21.0,42.4
Coimbatore,2020,4,31.2,38.9,23.5,80.6
Coimbatore,2020,5,32.6,40.0,25.2,110.4
Coimbatore,2020,6,29.9,35.6,24.2,96.8
Coimbatore,2020,7,28.6,34.2,23.0,102.8
Coimbatore,2020,8,28.4,33.9,22.9,91.2
Coimbatore,2020,9,28.9,34.4,23.4,152.4
Coimbatore,2020,10,28.2,33.6,22.8,259.6
Coimbatore,2020,11,26.0,31.4,20.6,181.4
Coimbatore,2020,12,24.8,30.6,19.0,49.2
Coimbatore,2023,1,25.0,31.6,18.4,37.2
Coimbatore,2023,2,26.6,33.8,19.4,27.0
Coimbatore,2023,3,29.0,36.6,21.4,48.4
Coimbatore,2023,4,31.6,39.3,23.9,88.2
Coimbatore,2023,5,33.0,40.4,25.6,119.2
Coimbatore,2023,6,30.3,36.0,24.6,105.4
Coimbatore,2023,7,29.0,34.6,23.4,111.4
Coimbatore,2023,8,28.8,34.3,23.3,99.8
Coimbatore,2023,9,29.3,34.8,23.8,166.2
Coimbatore,2023,10,28.6,34.0,23.2,283.4
Coimbatore,2023,11,26.4,31.8,21.0,198.8
Coimbatore,2023,12,25.2,31.0,19.4,56.6
Tirunelveli,2000,1,25.8,33.0,18.6,14.2
Tirunelveli,2000,2,27.4,35.2,19.6,6.8
Tirunelveli,2000,3,30.2,37.8,22.6,12.4
Tirunelveli,2000,4,33.0,40.6,25.4,24.6
Tirunelveli,2000,5,34.8,42.4,27.2,42.8
Tirunelveli,2000,6,33.4,39.8,27.0,38.4
Tirunelveli,2000,7,32.2,38.6,25.8,56.4
Tirunelveli,2000,8,31.8,38.2,25.4,62.8
Tirunelveli,2000,9,31.6,38.0,25.2,98.4
Tirunelveli,2000,10,30.2,36.6,23.8,136.8
Tirunelveli,2000,11,28.0,34.4,21.6,122.4
Tirunelveli,2000,12,26.4,32.8,20.0,38.6
Tirunelveli,2005,1,26.0,33.2,18.8,16.4
Tirunelveli,2005,2,27.6,35.4,19.8,8.4
Tirunelveli,2005,3,30.4,38.0,22.8,14.6
Tirunelveli,2005,4,33.2,40.8,25.6,27.2
Tirunelveli,2005,5,35.0,42.6,27.4,46.4
Tirunelveli,2005,6,33.6,40.0,27.2,42.4
Tirunelveli,2005,7,32.4,38.8,26.0,62.8
Tirunelveli,2005,8,32.0,38.4,25.6,69.4
Tirunelveli,2005,9,31.8,38.2,25.4,106.8
Tirunelveli,2005,10,30.4,36.8,24.0,148.4
Tirunelveli,2005,11,28.2,34.6,21.8,134.8
Tirunelveli,2005,12,26.6,33.0,20.2,42.6
Tirunelveli,2010,1,26.4,33.6,19.2,20.8
Tirunelveli,2010,2,28.0,35.8,20.2,11.6
Tirunelveli,2010,3,30.8,38.4,23.2,19.2
Tirunelveli,2010,4,33.6,41.2,26.0,32.8
Tirunelveli,2010,5,35.4,43.0,27.8,53.4
Tirunelveli,2010,6,34.0,40.4,27.6,50.2
Tirunelveli,2010,7,32.8,39.2,26.4,72.4
Tirunelveli,2010,8,32.4,38.8,26.0,80.2
Tirunelveli,2010,9,32.2,38.6,25.8,118.4
Tirunelveli,2010,10,30.8,37.2,24.4,164.6
Tirunelveli,2010,11,28.6,35.0,22.2,148.6
Tirunelveli,2010,12,27.0,33.4,20.6,50.4
Tirunelveli,2015,1,26.8,34.0,19.6,25.4
Tirunelveli,2015,2,28.4,36.2,20.6,14.8
Tirunelveli,2015,3,31.2,38.8,23.6,24.0
Tirunelveli,2015,4,34.0,41.6,26.4,39.6
Tirunelveli,2015,5,35.8,43.4,28.2,61.2
Tirunelveli,2015,6,34.4,40.8,28.0,58.2
Tirunelveli,2015,7,33.2,39.6,26.8,82.8
Tirunelveli,2015,8,32.8,39.2,26.4,91.6
Tirunelveli,2015,9,32.6,39.0,26.2,132.0
Tirunelveli,2015,10,31.2,37.6,24.8,182.8
Tirunelveli,2015,11,29.0,35.4,22.6,165.4
Tirunelveli,2015,12,27.4,33.8,21.0,58.4
Tirunelveli,2020,1,27.2,34.4,20.0,30.2
Tirunelveli,2020,2,28.8,36.6,21.0,18.4
Tirunelveli,2020,3,31.6,39.2,24.0,30.4
Tirunelveli,2020,4,34.4,42.0,26.8,47.4
Tirunelveli,2020,5,36.2,43.8,28.6,70.2
Tirunelveli,2020,6,34.8,41.2,28.4,67.4
Tirunelveli,2020,7,33.6,40.0,27.2,94.8
Tirunelveli,2020,8,33.2,39.6,26.8,104.8
Tirunelveli,2020,9,33.0,39.4,26.6,148.2
Tirunelveli,2020,10,31.6,38.0,25.2,204.6
Tirunelveli,2020,11,29.4,35.8,23.0,184.4
Tirunelveli,2020,12,27.8,34.2,21.4,67.8
Tirunelveli,2023,1,27.6,34.8,20.4,35.6
Tirunelveli,2023,2,29.2,37.0,21.4,22.6
Tirunelveli,2023,3,32.0,39.6,24.4,37.4
Tirunelveli,2023,4,34.8,42.4,27.2,55.6
Tirunelveli,2023,5,36.6,44.2,29.0,80.4
Tirunelveli,2023,6,35.2,41.6,28.8,77.8
